,year,Renewable energy consumption (TJ),Access to electricity (% of rural population with access),Access to Clean Fuels and Technologies for cooking (% of total population),Access to electricity (% of total population),Access to electricity (% of urban population with access),Energy intensity level of primary energy (MJ/2011 USD PPP),Renewable electricity output (GWh),Renewable electricity share of total electricity output (%),Renewable energy share of TFEC (%),Total electricity output (GWh),Total final energy consumption (TFEC) (TJ),country
16,2006,431762.9,69.3398466877297,69.58,80.7,88.2491683959961,9.57797673203002,3180.0,1.26768480093761,16.3703967434757,250851.0,2637461.429712,South Africa
17,2007,432018.2,71.7383603012195,71.46,82.0,88.6672897338867,9.734271413912712,1154.0,0.44299424184261,15.8116290856396,260500.0,2732281.39656,South Africa
18,2008,440397.9,70.56698141179321,73.35,81.9,89.0989151000977,10.1611018666896,1502.0,0.5878232147120172,15.986589711129401,255519.0,2754795.7879560003,South Africa
19,2009,447757.5,71.6821495516728,75.04,82.7,89.5430450439453,10.116617565470301,1712.0,0.693636934546118,15.570292525155402,246815.0,2875716.684684,South Africa
20,2010,456731.3,71.2114504688644,76.65,82.9,89.99789428710942,9.668689553581562,2434.0,0.948380661450703,17.0798023283017,256648.0,2674101.791232,South Africa
21,2011,463732.6,64.1,78.21,84.7,91.4,9.33499654052968,2384.0,0.9184208093198142,16.9785947586075,259576.0,2731277.862468,South Africa
22,2012,468574.1,75.5966659793825,79.65,85.3,90.9325714111328,9.004638751885249,1537.0,0.6029508106687379,16.632885446748098,254913.0,2817154.6151759997,South Africa
23,2013,476515.6,74.81532825896791,81.0,85.4,91.40884399414058,8.83732413382393,1542.0,0.6090239818003729,16.097393968051698,253192.0,2960203.3779240004,South Africa
24,2014,489468.3,75.39468879949541,82.36,86.0,91.8886871337891,9.03362749392559,3226.0,1.29313627636078,16.5881622011429,249471.0,2950708.42728,South Africa
25,2015,504710.1,72.8518331960531,83.64,85.5,92.3703079223633,8.69932535042479,5564.0,2.2550418260813196,17.1501412476598,246736.0,2942891.797284,South Africa
26,2016,,67.9214351327324,84.75,84.2,92.85223388671879,,,,,,,South Africa
0,1990,27900.6,,,0.00999999977648258,13.899279594421401,5.72715195500438,167.0,97.6608187134503,80.0875582175947,171.0,34837.621,Rwanda
1,1991,27930.68,,,0.00999999977648258,15.9372110366821,5.75858147512483,165.0,97.63313609467458,81.8261168913197,169.0,34134.1873,Rwanda
2,1992,27959.23,0.5,,2.3,31.1,5.4455252638861795,172.0,97.7272727272727,81.5562628296224,176.0,34282.1373,Rwanda
3,1993,27933.54,,,0.0427721999585629,20.0117015838623,5.94250989629007,155.0,97.48427672955981,81.33240761433059,159.0,34344.9073,Rwanda
4,1994,23345.19,,,0.18825627863407102,22.0463695526123,10.3985242888184,158.0,97.5308641975309,78.5389768561632,162.0,29724.3368,Rwanda
5,1995,47520.78,,,0.5774781107902529,24.0779457092285,13.791691496664901,160.0,97.56097560975608,88.3582377902898,164.0,53781.9463,Rwanda
6,1996,51158.6,,,1.1623027324676498,26.1053981781006,13.051737521442599,150.0,97.40259740259741,89.1548284004775,154.0,57381.749163600005,Rwanda
7,1997,65303.0,,,2.14179015159607,28.127698898315398,14.290848981956598,140.0,97.2222222222222,91.1241958132464,144.0,71663.7325764,Rwanda
8,1998,63454.4,,,3.10292291641235,30.1438159942627,13.297388256045101,126.0,96.92307692307692,90.8049706032367,130.0,69879.8750536,Rwanda
9,1999,65955.63,,,4.04264211654663,32.152717590331996,12.887211503558301,128.0,96.969696969697,90.7614884552462,132.0,72669.18064319999,Rwanda
10,2000,44838.63,0.9,0.29000000000000103,6.2,38.9,8.37056837509515,109.0,96.4601769911504,86.67852455812809,113.0,51729.803003199995,Rwanda
11,2001,45090.34,0.161099726406955,0.30999999999999894,5.85776567459106,36.14988327026371,7.71060545803674,89.0,97.7978989934508,86.87576277355231,91.00399999999999,51902.0939333,Rwanda
12,2002,45179.87,0.41394981640020706,0.319999999999998,6.74377536773682,38.143138885498,6.78817054310323,98.0,98.0,87.1082026675283,100.0,51866.378385100004,Rwanda
13,2003,45075.46,0.679915701883406,0.339999999999996,7.623501777648929,40.1366004943848,6.67619871894073,117.6,98.32775919732441,87.28761989603349,119.6,51640.152468,Rwanda
14,2004,44894.33,0.9066216014192601,0.349999999999995,8.50300693511963,42.1330795288086,6.23760534770131,84.3,58.6638830897704,87.54213661935741,143.7,51283.10975,Rwanda
15,2005,53013.39,1.3,0.37000000000000394,4.8,25.1,7.69074149187237,65.7,55.772495755517795,89.24461217571292,117.8,59402.34229,Rwanda
16,2006,54611.52,1.2260885068524099,0.409999999999999,10.285608291626,46.146358489990206,7.23875024843976,38.4,22.495606326889302,90.5858527254493,170.7,60287.02977000001,Rwanda
17,2007,56386.99,1.3234988076596002,0.429999999999997,11.2008304595947,48.168792724609396,6.9823836507691,42.52,25.704267924072102,90.30988791356691,165.42,62437.22731,Rwanda
18,2008,58301.91,2.0,0.43999999999999606,6.0,28.1,6.51035813753078,72.4,37.2236503856041,90.63050312722869,194.5,64329.23572999999,Rwanda
19,2009,60215.09,1.40936473120301,0.43999999999999606,13.0973424911499,52.2531929016113,6.342632927670279,99.3,39.975845410628,90.54192682696659,248.4,66505.20053,Rwanda
20,2010,62125.47,4.0,0.47000000000000397,9.7,44.5,6.142846261161151,112.3,39.9501956599075,90.6555290837025,281.1,68529.15716,Rwanda
21,2011,63978.12,2.5,0.480000000000003,10.8,58.2,5.93616146147797,149.6,43.2995658465991,89.6448125883995,345.5,71368.45753,Rwanda
22,2012,66101.18,1.25936141377667,0.509999999999999,16.069776535034197,58.4556732177734,5.69138247683543,181.81,46.2609093916185,88.78529095665708,393.01,74450.59793999999,Rwanda
23,2013,67693.28,7.7,0.519999999999998,15.2,61.5,5.63237299907089,148.24,35.8812993174227,88.474248475437,413.14,76511.84516,Rwanda
24,2014,68636.33,9.1,0.539999999999996,19.8,71.8,5.3376393505513,209.73,44.0581475957398,88.1813037678132,476.03,77835.46746,Rwanda
25,2015,68929.6,12.4,0.5600000000000049,22.8,72.9,4.884855417500849,297.95,56.8878281622912,86.6553742907747,523.75,79544.51823,Rwanda
26,2016,,17.76,0.5700000000000041,29.37,79.97,,,,,,,Rwanda
0,1990,139992.8,,,60.2237892150879,89.7324676513672,3.54527499721782,10605.0,76.803302433372,39.4258282036508,13808.0,355078.907352,Peru
1,1991,139755.8,,,61.617095947265604,90.13290405273442,3.40222806198856,11625.0,80.2720618699075,39.913113738396,14482.0,350150.080788,Peru
2,1992,127901.5,19.6,,70.1,90.3,3.32677170155861,9822.0,74.851394604481,37.3077712492969,13122.0,342828.037476,Peru
3,1993,130173.7,2.22665895811861,,64.39963531494139,90.9324111938477,3.3745165815569704,11908.0,80.4159913560238,37.0792617049946,14808.0,351068.748444,Peru
4,1994,130041.2,4.67016059321973,,65.7832565307617,91.32958984375,3.11257469928633,12866.0,81.0916425059877,35.934975815490105,15866.0,361879.191648,Peru
5,1995,129874.6,7.1563097595736505,,67.1576995849609,91.7236709594727,3.0957321693481896,12963.0,80.2960852329039,33.282985370877,16144.0,390213.19317600003,Peru
6,1996,130450.0,17.8,,67.0,92.0,3.1016161953529195,13460.0,77.9295970356647,31.7145352264847,17272.0,411325.592724,Peru
7,1997,130165.2,23.845619,,69.16024,91.792103,2.8196796012463903,13357.0,74.42469493508659,31.7398884822982,17947.0,410099.739552,Peru
8,1998,133585.7,29.172649,,72.072063,93.42112900000001,2.9775806530414104,13930.0,74.99327052489909,32.692289509868395,18575.0,408615.309612,Peru
9,1999,135705.8,29.028567,,74.078523,95.064564,3.12545283743765,14674.0,77.0693277310924,30.6801285582867,19040.0,442324.74366000004,Peru
10,2000,141108.7,28.944197999999997,35.28,72.496495,95.160342,3.03465865822195,16327.0,81.98754644973391,32.1550548987154,19914.0,438838.31156400003,Peru
11,2001,147148.1,27.617721000000003,40.0,72.113111,92.363804,2.91074823541241,17770.0,85.5231494850322,34.841290620605804,20778.0,422338.258368,Peru
12,2002,148586.0,29.971636,44.1,74.382688,93.830749,2.77852598467102,18227.0,82.91406996315341,34.1658514703152,21983.0,434896.230024,Peru
13,2003,149389.7,29.695809000000004,48.13,74.380966,93.76253100000001,2.61453222253604,18731.0,81.7091258070145,34.8173472035779,22924.0,429066.864648,Peru
14,2004,150835.5,32.028739,51.72,75.692357,94.305688,2.7557727838076,17679.0,72.8880643166357,32.6069789638017,24255.0,462586.55292,Peru
15,2005,148129.9,34.584732,54.92,77.173645,94.65564,2.74787186095969,18428.0,72.26950076473591,32.731839800044,25499.0,452555.984952,Peru
16,2006,157257.3,39.626711,57.57,80.157275,96.160471,2.4812832834471603,20052.0,73.29483149353021,33.879494307607196,27358.0,464166.60937200004,Peru
17,2007,162577.2,45.41024,60.08,81.98813100000001,95.809539,2.47402816128087,19967.0,66.7100998964285,32.3720108416534,29931.0,502215.326676,Peru
18,2008,133397.4,50.133503000000005,62.34,84.678343,97.041166,2.37746073943598,19501.0,60.1325932778292,25.7171600310664,32430.0,518709.685824,Peru
19,2009,160474.7,55.129787,64.53,86.42432,97.47614499999999,2.4665016864237,19952.0,60.590968447265304,28.0608450889678,32929.0,571881.208464,Peru
20,2010,190578.3,58.5864,66.13,88.12306099999999,98.142493,2.6934502469236405,20716.0,57.7208135971023,30.7972112804847,35890.0,618816.743712,Peru
21,2011,191905.5,64.237932,67.86,89.707491,98.376636,2.5753788523369803,22263.0,56.7600642480177,29.5472588339093,39223.0,649486.644696,Peru
22,2012,183949.2,68.558489,69.53,91.099508,98.629566,2.61583612032158,22083.0,55.2503189972228,28.253294480277,39969.0,651071.6834399999,Peru
23,2013,181703.2,71.597192,70.95,92.13536500000001,98.779725,2.46188419857603,23467.0,53.9396864800257,25.983385316642998,43506.0,699305.336028,Peru
24,2014,182543.5,74.504761,72.41,92.919989,98.880892,2.78241677083545,23946.0,52.3684555832568,25.996864934782,45726.0,702175.052484,Peru
25,2015,188380.4,77.92171,73.87,93.852179,98.87489599999999,2.79098842070488,25443.0,52.7305133572361,25.503905515847897,48251.0,738633.539412,Peru
26,2016,,75.5729045784838,75.06,94.85174560546879,100.0,,,,,,,Peru
0,1990,229285.7,,,0.00999999977648258,75.2230529785156,10.7912799533894,877.0,99.8861047835991,95.11971453700491,878.0,241049.60902800004,Nepal
1,1991,234348.3,,,0.0650601908564568,76.1186065673828,10.4738135712736,900.0,96.56652360515021,94.1886478427166,932.0,248807.37261599998,Nepal
2,1992,239342.5,,,0.458564400672913,77.0139846801758,10.3057949704018,839.0,94.69525959367951,94.1610503123683,886.0,254184.18678000002,Nepal
3,1993,244530.4,,,1.7262779474258403,77.90834045410159,10.185770780103,871.0,93.35476956055729,93.545554307166,933.0,261402.481188,Nepal
4,1994,250040.5,,,3.5338521003723105,78.8006286621094,9.74633443734357,929.0,91.980198019802,92.3802419840757,1010.0,270664.47828000004,Nepal
5,1995,255819.2,,,7.575012683868411,79.689826965332,9.716169789296211,1159.0,96.9063545150502,91.73240229558391,1196.0,278875.50483600004,Nepal
6,1996,261564.0,12.1,,17.9,78.4,9.446465110817439,1181.0,96.72399672399669,91.51546257695959,1221.0,285813.9954,Nepal
7,1997,267281.6,6.762828320220031,,15.617564201355,81.4548263549805,9.28322033119918,1062.0,90.84687767322501,90.7086604586331,1169.0,294659.405892,Nepal
8,1998,273283.7,10.7671299579705,,19.612838745117198,82.3285598754883,9.245502040802439,1131.0,90.48,90.4911794633272,1250.0,302000.37354,Nepal
9,1999,279832.4,14.7693610588641,,23.586698532104503,83.19508361816409,9.34199922628934,1411.0,95.4668470906631,88.0524277862945,1478.0,317802.026628,Nepal
10,2000,296792.2,18.769202296814,14.92,27.5376052856445,84.0540084838867,9.28628339851372,1632.0,98.37251356238701,88.284545560238,1659.0,336176.845128,Nepal
11,2001,304942.8,17.4,15.45,24.6,85.7,9.15263719772042,1849.0,99.0358864488484,87.7565053014631,1867.0,347487.401592,Nepal
12,2002,315976.7,27.011136979055,16.18,35.3902549743652,85.7583770751953,9.243012617787581,2119.0,99.8115873763542,89.94329658508329,2123.0,351306.558684,Nepal
13,2003,323323.3,31.2401351273909,16.96,39.3041229248047,86.6094512939453,9.143759556947991,2263.0,99.823555359506,89.4428771673892,2267.0,361485.79991999996,Nepal
14,2004,330933.7,27.3,17.67,37.2,87.4,8.860626246538189,2404.0,99.4210090984284,90.2970104562488,2418.0,366494.636232,Nepal
15,2005,338400.5,39.7645520461994,18.13,47.1372566223145,88.32349395751949,8.852740494067909,2517.0,99.3683379392025,89.51737692701109,2533.0,378027.721116,Nepal
16,2006,344938.9,43.2,19.02,51.2,90.1,8.563978075268441,2735.0,99.5269286754003,91.2532617595403,2748.0,378001.721088,Nepal
17,2007,352430.4,48.4292805733951,19.78,55.0180130004883,90.07213592529301,8.442045254786741,2783.0,99.6776504297994,91.31227101088498,2792.0,385961.707116,Nepal
18,2008,359566.3,52.8311672007193,20.42,58.989894866943395,90.96570587158199,8.23467901618003,2803.0,99.67994310099571,90.4689314769895,2812.0,397447.27181999997,Nepal
19,2009,364858.3,57.2812515584539,21.25,62.9828071594238,91.8717727661133,8.11063262922194,3102.0,99.5826645264847,88.92708665645729,3115.0,410289.27598800004,Nepal
20,2010,368994.9,61.7769754382714,22.31,66.99374389648439,92.7885589599609,7.965681555858881,3205.0,99.9064837905237,87.2924485879784,3208.0,422711.13477600005,Nepal
21,2011,380337.4,72.9,23.1,76.3,97.0,7.97206215285814,3490.0,99.94272623138599,86.94551203482278,3492.0,437443.395408,Nepal
22,2012,354167.1,70.8971405211242,23.81,75.0576629638672,94.64712524414058,7.2726659983594,3533.0,99.4650900900901,84.69734033742421,3552.0,418156.10571599996,Nepal
23,2013,401076.6,75.51703467116671,24.59,79.1046447753906,95.58533477783199,7.76571265181869,3507.0,99.7156667614444,86.25309588725159,3517.0,464999.65696800005,Nepal
24,2014,407097.6,81.7,25.5,84.9,97.7,7.60369635213534,3796.0,99.97366341848829,84.3747890594521,3797.0,482487.25068,Nepal
25,2015,412327.7,84.8675503769791,26.56,87.213623046875,97.4706802368164,7.42382880373283,3503.0,100.0,85.2639581903713,3503.0,483589.676988,Nepal
26,2016,,85.2,27.62,90.7,94.5,,,,,,,Nepal
0,1990,447873.5,82.5740222899768,,94.2645721435547,98.94298553466801,4.82065733001327,28604.0,24.6933190604038,14.413301687743198,115837.0,3107362.280364,Mexico
1,1991,422036.9,83.3259591508308,,94.5752944946289,98.9900665283203,4.85607368552218,28785.0,22.388582095356604,13.1955118498823,128570.0,3198336.71328,Mexico
2,1992,434511.2,76.047298,,93.145981,98.584698,4.72511612461449,34087.0,25.655557562620398,13.4270915549992,132864.0,3236078.3288040003,Mexico
3,1993,431306.6,84.88831282706231,,95.19265747070308,99.0820159912109,4.61704762963817,34456.0,25.3963574182041,13.303969341402302,135673.0,3241939.220784,Mexico
4,1994,399700.1,82.358863,,95.238294,99.25589000000001,4.507851213673581,27987.0,19.021824088737198,11.8631029257549,147131.0,3369271.113144,Mexico
5,1995,433354.3,86.4742509621299,,95.78555297851558,99.1654815673828,4.63041434707186,36007.0,23.6502285744312,13.261833225880899,152248.0,3267680.211468,Mexico
6,1996,438974.9,86.345106,,96.093624,99.076735,4.46989342761562,38894.0,24.664692341351103,13.0647238378458,157691.0,3360001.370472,Mexico
7,1997,438314.2,88.0976368011812,,96.3295059204102,99.2324676513672,4.39744712320738,33427.0,19.9572519448574,12.699777386409199,167493.0,3451353.4108800003,Mexico
8,1998,434300.5,86.369039,,96.09275500000001,99.17506999999999,4.31710230599487,32061.0,17.5865587151132,12.238453367318401,182304.0,3548655.1034279997,Mexico
9,1999,450340.8,89.5898940190946,,96.8000335693359,99.27560424804692,4.3263322512802,40040.0,20.9075244112579,12.748461320411,191510.0,3532511.011968,Mexico
10,2000,448066.4,93.055972,80.68,98.007132,99.430718,4.1117286726370095,40732.0,19.804059803087398,12.1673599409573,205675.0,3682527.698484,Mexico
11,2001,408174.3,90.8395473406682,80.97,97.1848373413086,99.29486083984379,4.28289776873679,36604.0,17.105632091519198,11.3438848753678,213988.0,3598187.9619239997,Mexico
12,2002,393058.0,92.45922900000001,81.25,97.897085,99.526178,4.29831397951909,32855.0,15.055837889112402,10.6827805508327,218221.0,3679360.4261519997,Mexico
13,2003,390316.9,91.96713208137159,81.61,97.5202484130859,99.3045654296875,4.48997269909971,28643.0,12.125714914675902,10.1690386164319,236217.0,3838287.1254839995,Mexico
14,2004,411075.5,95.868543,81.96,98.597701,99.39008199999999,4.351927906351009,34327.0,14.448424340125301,10.2132927480421,237583.0,4024906.659792,Mexico
15,2005,431798.8,96.56445699999999,82.27,98.932728,99.605581,4.51428861231733,38110.0,15.1973138518471,10.3057556226863,250718.0,4189880.0612879996,Mexico
16,2006,432409.9,97.04425400000001,82.52,99.11416,99.705865,4.399624280621031,39532.0,15.3342487645557,9.82410741213981,257750.0,4401518.447016001,Mexico
17,2007,424520.7,94.4900549414298,82.83,98.2528305053711,99.3816680908203,4.23519602656183,37378.0,14.090443016978801,9.45657974068416,265208.0,4489156.87956,Mexico
18,2008,452624.4,95.935502,83.15,98.914037,99.725953,4.13422558918054,47246.0,17.543025824777697,9.76961777722943,269315.0,4632979.614155999,Mexico
19,2009,402241.0,96.07195119779628,83.41,98.71661376953129,99.4832305908203,4.34361243061799,34667.0,12.947332252739502,9.168405481305589,267754.0,4387251.4236,Mexico
20,2010,430703.1,97.518062,83.74,99.236696,99.703549,4.01469964528282,45747.0,16.6028518855907,9.35997754330969,275537.0,4601539.886256,Mexico
21,2011,430711.0,97.89812851451592,84.0,99.2483596801758,99.62657928466801,4.05413062038038,45076.0,14.888803009734099,9.066472234910359,302785.0,4750590.845484,Mexico
22,2012,427083.2,97.194036,84.24,99.111637,99.650006,4.069257836789101,42361.0,13.788131290116802,8.96482420763479,307268.0,4763988.563616,Mexico
23,2013,440219.3,99.56962993821979,84.59,99.7487335205078,99.79723358154301,4.02340346865891,39543.0,13.299543262277801,9.23136345664358,297326.0,4768735.431852,Mexico
24,2014,459153.8,97.52599000000001,84.87,99.172928,99.63725,3.85311999350743,52893.0,17.5435163318916,9.758462423168199,301496.0,4705185.920580001,Mexico
25,2015,441721.1,98.0,85.15,99.0,99.3,3.73852342945458,47897.0,15.394133792722199,9.215213455001802,311138.0,4793389.780464,Mexico
26,2016,,100.0,85.35,100.0,100.0,,,,,,,Mexico
0,1990,9439.936,84.74938397049941,,93.4802093505859,97.27459716796879,4.16933793975976,2600.0,10.833333333333302,1.59632635721349,24000.0,591353.764056,Iraq
1,1991,3600.052,85.5697293645241,,93.8056793212891,97.41626739501949,9.231703831191961,900.0,4.3248438250840895,0.746342013031562,20810.0,482359.55328,Iraq
2,1992,2980.656,86.3810388616882,,94.1306381225586,97.5577545166016,10.3447612463955,700.0,2.7667984189723303,0.490534585428941,25300.0,607634.219592,Iraq
3,1993,2642.6,87.17668840876591,,94.4525375366211,97.6982192993164,10.334399031098599,600.0,2.2813688212927796,0.38934008745201604,26300.0,678738.225312,Iraq
4,1994,2535.55,87.9497479630413,,94.7683258056641,97.8366165161133,11.274514975696599,560.0,2.0,0.35737871393965503,28000.0,709485.456492,Iraq
5,1995,2597.982,88.6926125359076,,95.0749282836914,97.97193145751949,10.6054632087908,570.0,1.91641730827422,0.373227147039444,29743.0,696086.021772,Iraq
6,1996,2615.161,89.40705663347,,95.36929321289058,98.09925079345699,9.56419560598779,570.0,1.89740687726773,0.350157932459888,30041.0,746851.8509999999,Iraq
7,1997,2677.428,90.0708568850496,,95.6483688354492,98.22451782226558,9.386506504393349,581.0,1.91502686311348,0.362383356738199,30339.0,738838.567008,Iraq
8,1998,2715.57,90.6420982428792,,95.90908813476558,98.3437271118164,4.96567697056205,593.0,1.91630311843593,0.390140044105445,30945.0,696050.0571600001,Iraq
9,1999,2721.118,91.14297547065658,,96.1483917236328,98.4563446044922,3.2636070379205697,605.0,1.9168013179989198,0.384234167966341,31563.0,708192.61452,Iraq
10,2000,2755.402,91.5858919637373,74.95,96.36474609375,98.5627288818359,3.7881968414691203,611.0,1.9153605015673998,0.36357195247021706,31900.0,757869.792012,Iraq
11,2001,2822.663,91.98190346594379,78.65,96.5626907348633,98.664306640625,4.13966007366477,618.0,1.91621965210381,0.352055214088955,32251.0,801767.133972,Iraq
12,2002,2519.824,92.3450193616951,81.76,96.74828338623051,98.76339721679692,4.228261687825491,517.0,1.52674009981396,0.32398605791781704,33863.0,777756.9245399999,Iraq
13,2003,2258.511,92.68854450351309,84.63,96.9275970458984,98.86270141601558,5.8075786111739305,433.0,1.5278757939308403,0.358040206033949,28340.0,630798.15114,Iraq
14,2004,2565.874,93.0255698193355,86.96,97.106689453125,98.96502685546879,3.87703899436953,493.0,1.52655209784796,0.360068906004819,32295.0,712606.380948,Iraq
15,2005,16836.6,93.3692599189233,89.01,97.29161834716801,99.07318115234379,3.7604465400833194,6000.0,19.7368421052632,2.3033291172296204,30400.0,730968.052896,Iraq
16,2006,18357.05,93.64806866952792,90.77,97.62211156493031,99.5434926958831,3.22102415751573,6096.0,18.023238624604602,2.55400646821021,33823.0,718755.031692,Iraq
17,2007,14437.6,95.40676915465599,92.14,98.1,99.31719970703121,3.2329969634845095,5736.0,17.2578752595,2.03261696823174,33237.0,710296.146576,Iraq
18,2008,8307.78,94.5780881567722,93.38,97.9405975341797,99.45645141601558,3.23572301163032,3485.0,9.447516807633919,1.1851294366201002,36888.0,701001.911124,Iraq
19,2009,8592.85,95.1143005835328,94.24,98.2124557495117,99.60568237304692,3.75123499875916,3227.0,8.52643538457473,1.23763391680208,37847.0,694296.583452,Iraq
20,2010,13303.68,95.6616480897097,95.1,98.48660278320308,99.7537689208984,4.01433411531913,4767.0,9.74687167743518,1.70963705456244,48908.0,778158.145584,Iraq
21,2011,9773.975,94.08756318916842,95.72,98.0,100.0,4.08389015305167,3397.0,6.30206110977126,1.0743365580925202,53903.0,909768.4451280001,Iraq
22,2012,13051.97,98.6,96.18,99.3,99.69,4.00553461708955,4392.0,9.54409144247903,1.26387437960623,46018.0,1032695.195868,Iraq
23,2013,14241.45,98.00393302744409,96.71,99.3796005249023,99.9901123046875,4.0447611123735,4757.0,8.14248057238711,1.36878400878178,58422.0,1040445.3813479999,Iraq
24,2014,7893.954000000001,98.87765647590959,97.04,99.6554107666016,99.9989700317383,4.02747342269317,2931.0,4.32505017117223,0.912104650364548,67768.0,865465.820928,Iraq
25,2015,5867.225,99.5485689382147,97.39,99.8621826171875,100.0,3.71626708149862,2572.0,3.7317547372392004,0.798830768676665,68922.0,734476.591296,Iraq
26,2016,,100.0,97.63,100.0,100.0,,,,,,,Iraq
0,1990,30460.41,100.0,,100.0,100.0,12.989185878022498,4504.0,99.8669623059867,54.6721549511554,4510.0,55714.668696,Iceland
1,1991,30144.68,100.0,,100.0,100.0,11.9082705424457,4487.0,99.84423676012459,54.7874237583985,4494.0,55021.16714400001,Iceland
2,1992,30848.64,100.0,,100.0,100.0,12.016686426954,4540.0,99.86801583809941,54.633261314261595,4546.0,56464.94325599999,Iceland
3,1993,31608.29,100.0,,100.0,100.0,12.7455693530973,4722.0,99.8942246668077,54.6595421181759,4727.0,57827.579184,Iceland
4,1994,32308.31,100.0,,100.0,100.0,12.4747174633994,4775.0,99.8953974895397,54.1375531203699,4780.0,59678.186652,Iceland
5,1995,33017.88,100.0,,100.0,100.0,12.4711023641081,4972.0,99.81931339088541,55.650716705542706,4981.0,59330.556648000005,Iceland
6,1996,32556.28,100.0,,100.0,100.0,12.824112565413001,5118.0,99.90240093695101,52.2531955456447,5123.0,62304.859368,Iceland
7,1997,34402.49,100.0,,100.0,100.0,11.95680598079,5582.0,99.92839240959542,54.881956314735795,5586.0,62684.518392,Iceland
8,1998,37294.58,100.0,,100.0,100.0,11.9439366669341,6276.0,99.92039484158572,57.2124456592265,6281.0,65186.131391999996,Iceland
9,1999,41009.76,100.0,,100.0,100.0,12.892520411361899,7183.0,99.93043962159149,59.8176763149088,7188.0,68557.928904,Iceland
10,2000,43963.69,100.0,100.0,100.0,100.0,13.790212281545902,7679.0,99.934929724102,60.660477061732294,7684.0,72475.015248,Iceland
11,2001,45583.21,100.0,100.0,100.0,100.0,12.8583396323613,8029.0,99.95020540271379,62.1193634766596,8033.0,73380.033936,Iceland
12,2002,47202.2,100.0,100.0,100.0,100.0,13.177506269254401,8410.0,99.9287072243346,61.8431962472443,8416.0,76325.615208,Iceland
13,2003,47167.34,100.0,100.0,100.0,100.0,12.827338616205099,8494.0,99.9294117647059,61.8816048183465,8500.0,76221.908172,Iceland
14,2004,48425.76,100.0,100.0,100.0,100.0,11.7267652961184,8619.0,99.95361243186831,61.8069885493144,8623.0,78349.974876,Iceland
15,2005,49023.51,100.0,100.0,100.0,100.0,11.2443691043023,8681.0,99.94243610407551,62.465599572452604,8686.0,78480.812376,Iceland
16,2006,53621.73,100.0,100.0,100.0,100.0,13.365449588701301,9926.0,99.9597180261833,64.01584575296779,9930.0,83763.2142,Iceland
17,2007,61250.96,100.0,100.0,100.0,100.0,14.497585394902801,11974.0,99.9749519913167,66.7515975965699,11977.0,91759.541652,Iceland
18,2008,77859.13,100.0,100.0,100.0,100.0,16.1413855362034,16465.0,99.9878544968725,73.4615703076425,16467.0,105986.204316,Iceland
19,2009,79405.99,100.0,100.0,100.0,100.0,17.570978036231597,16832.0,99.98811928240471,74.12387755453429,16834.0,107126.060616,Iceland
20,2010,79386.96,100.0,100.0,100.0,100.0,18.3194279689963,17057.0,99.9882759833519,75.41969184069659,17059.0,105260.255064,Iceland
21,2011,80595.34,100.0,100.0,100.0,100.0,19.217947165187798,17209.0,99.98837952472259,76.4508536593322,17211.0,105421.11192000001,Iceland
22,2012,84106.67,100.0,100.0,100.0,100.0,18.539853349152104,17546.0,99.9829050088324,77.3446814179132,17549.0,108742.66783199999,Iceland
23,2013,85919.5,100.0,100.0,100.0,100.0,18.5742321066501,18111.0,99.9724000883197,76.2194959459808,18116.0,112726.40803199999,Iceland
24,2014,87101.0,100.0,100.0,100.0,100.0,18.1057478442943,18120.0,99.9834464492634,76.3388709815554,18122.0,114097.83624,Iceland
25,2015,91392.87,100.0,100.0,100.0,100.0,16.557495602537,18795.0,99.9787222724613,77.029689205553,18799.0,118646.292024,Iceland
26,2016,,100.0,100.0,100.0,100.0,,,,,,,Iceland
0,1990,143281.2,,,23.536262512207,73.1767883300781,7.888965098757019,5721.0,100.0,80.6264219686598,5721.0,177709.98204,Ghana
1,1991,149122.3,,,25.6872043609619,73.8088150024414,7.75385888842966,6109.0,100.0,82.928378877974,6109.0,179820.589788,Ghana
2,1992,154731.8,,,27.8376350402832,74.4406661987305,7.730910282063499,6602.0,100.0,81.0012328856717,6602.0,191024.00604,Ghana
3,1993,160057.8,6.0,,30.6,74.6,7.7257817103282305,6291.0,99.6515127514652,81.297291128455,6313.0,196879.622652,Ghana
4,1994,163776.2,3.8078350910644,,32.1262588500977,75.7002487182617,7.78222675739087,6082.0,99.54173486088379,80.5576355411703,6110.0,203303.136816,Ghana
5,1995,171561.0,6.049309222963849,,34.2583389282227,76.3259201049805,7.82376517731199,6097.0,99.68933943754091,79.7893467842234,6116.0,215017.426404,Ghana
6,1996,177643.6,8.30695682022611,,36.3781776428223,76.9474639892578,7.737873686774661,6625.0,99.9698204315678,78.82919724916542,6627.0,225352.542204,Ghana
7,1997,180160.3,10.582168617254302,,38.482723236084,77.56385803222659,7.76075190715809,6851.0,99.49172233517281,78.33904478955259,6886.0,229975.104348,Ghana
8,1998,173919.4,20.9,,42.6,82.4,7.83457811127323,3830.0,77.53036437246959,73.5780714932637,4940.0,236373.95825999998,Ghana
9,1999,183278.8,15.162277750933,,42.63368606567379,78.7770614624023,7.79392009957062,5169.0,83.5866752910737,72.7838884237677,6184.0,251812.322712,Ghana
