,year,Renewable energy consumption (TJ),Access to electricity (% of rural population with access),Access to Clean Fuels and Technologies for cooking (% of total population),Access to electricity (% of total population),Access to electricity (% of urban population with access),Energy intensity level of primary energy (MJ/2011 USD PPP),Renewable electricity output (GWh),Renewable electricity share of total electricity output (%),Renewable energy share of TFEC (%),Total electricity output (GWh),Total final energy consumption (TFEC) (TJ),country
17,2007,102465.0,100.0,100.0,100.0,100.0,3.7693929922852702,19689.0,5.01029338042756,1.83965077165068,392970.0,5569807.138344,UK
18,2008,155496.3,100.0,100.0,100.0,100.0,3.7286494090143503,21847.0,5.677052204869679,2.78279191396424,384805.0,5587780.358988,UK
19,2009,175739.7,100.0,100.0,100.0,100.0,3.66894172656006,25245.0,6.76680846273229,3.3830316630886603,373035.0,5194740.029112,UK
20,2010,198481.1,100.0,100.0,100.0,100.0,3.74016795806459,25785.0,6.81281342640788,3.6389182618799705,378621.0,5454398.415024,UK
21,2011,218559.6,100.0,100.0,100.0,100.0,3.40085679343243,34530.0,9.48905310077413,4.40111862136268,364517.0,4966001.119332,UK
22,2012,243652.1,100.0,100.0,100.0,100.0,3.46520061199229,41125.0,11.423960176561,4.7512576185090705,360616.0,5128160.153868,UK
23,2013,309751.8,100.0,100.0,100.0,100.0,3.35283107405877,53280.0,14.988480137732001,6.01578094932047,356264.0,5148987.3486,UK
24,2014,358785.1,100.0,100.0,100.0,100.0,3.0688781821477096,64587.0,19.2628536831965,7.3952204555385,336042.0,4851580.857624,UK
25,2015,429157.5,100.0,100.0,100.0,100.0,3.0173144684495403,83551.0,24.8400504227664,8.71168557437913,336356.0,4926228.068448001,UK
26,2016,,100.0,100.0,100.0,100.0,,,,,,,UK
0,1990,565611.4,100.0,,100.0,100.0,5.44753280318395,55779.0,13.369878643045599,10.4080191320525,417199.0,5434380.863676,France
1,1991,638068.1,100.0,,100.0,100.0,5.698379907872571,59704.0,13.2201978689672,11.0122219269501,451612.0,5794181.267256,France
2,1992,654879.0,100.0,,100.0,100.0,5.51240636206998,71090.0,15.4539782744326,11.2582017613576,460011.0,5816905.8778800005,France
3,1993,624676.8,100.0,,100.0,100.0,5.63795068605657,66871.0,14.238354192661,10.860132570497301,469654.0,5752018.181592,France
4,1994,617940.9,100.0,,100.0,100.0,5.30022745820351,80957.0,17.058195127193198,10.934488875218598,474593.0,5651301.19068,France
5,1995,612270.1,100.0,,100.0,100.0,5.40804649600304,75454.0,15.361125079142802,10.701408694358,491201.0,5721397.2243,France
6,1996,628695.6,100.0,,100.0,100.0,5.63604373298208,68475.0,13.4486212585435,10.4949535665609,509160.0,5990456.232252,France
7,1997,588068.6,100.0,,100.0,100.0,5.338704796041401,66452.0,13.264534158391099,9.98545318666425,500975.0,5889252.986388,France
8,1998,586657.4,100.0,,100.0,100.0,5.30525458900133,64767.0,12.7678574948843,9.70928588525048,507266.0,6042230.1591839995,France
9,1999,593721.4,100.0,,100.0,100.0,5.12201148310623,75406.0,14.466739698064401,9.779014351504141,521237.0,6071382.847584,France
10,2000,567220.2,100.0,100.0,100.0,100.0,4.97920897917369,69402.0,12.9678764686538,9.25600013717668,535184.0,6128135.172792,France
11,2001,597108.2,100.0,100.0,100.0,100.0,5.05091109835806,77738.0,14.2563718855793,9.395220909420212,545286.0,6355446.090696,France
12,2002,539610.1,100.0,100.0,100.0,100.0,5.00716538154063,64206.0,11.5972761591677,8.66875552749496,553630.0,6224770.075572,France
13,2003,561490.7,100.0,100.0,100.0,100.0,5.0556274959923,63057.0,11.2300179517866,8.84755441914201,561504.0,6346281.394836,France
14,2004,570263.8,100.0,100.0,100.0,100.0,4.99064323415997,63940.0,11.2429885178738,8.88771189269145,568710.0,6416317.347876,France
15,2005,548808.1,100.0,100.0,100.0,100.0,4.93206864531416,56325.0,9.860646697361739,8.59691215698915,571210.0,6383781.641340001,France
16,2006,530365.3,100.0,100.0,100.0,100.0,4.740105419428151,62339.0,10.947575829949802,8.46011282921616,569432.0,6269009.772168,France
17,2007,571542.2,100.0,100.0,100.0,100.0,4.57793635586042,65909.0,11.6909263128767,9.32132831522475,563762.0,6131553.150708,France
18,2008,649586.9,100.0,100.0,100.0,100.0,4.58910194670539,73826.0,12.9792089338645,10.473230358883301,568802.0,6202354.743864,France
19,2009,669329.4,100.0,100.0,100.0,100.0,4.524647529585691,69661.0,13.127163567084901,11.222006213612099,530663.0,5964436.191348,France
20,2010,731191.6,100.0,100.0,100.0,100.0,4.57721334867775,78195.0,13.8573593131131,11.845873304769402,564285.0,6172542.801936,France
21,2011,617406.4,100.0,100.0,100.0,100.0,4.31528298948888,64399.0,11.574747247809501,10.913690435543499,556374.0,5657173.470756,France
22,2012,725254.3,100.0,100.0,100.0,100.0,4.31659316435746,83036.0,14.8273540719154,12.372958762063,560826.0,5861607.671592,France
23,2013,808277.4,100.0,100.0,100.0,100.0,4.31050153437464,96672.0,17.045286239217997,13.4773744348411,567157.0,5997291.266988,France
24,2014,736346.1,100.0,100.0,100.0,100.0,4.08202291575321,91807.0,16.4559049430271,13.3470246384899,556979.0,5516930.701368,France
25,2015,760300.4,100.0,100.0,100.0,100.0,4.10185369917219,89357.0,15.8576666299907,13.4992623166677,563494.0,5632162.574256,France
26,2016,,100.0,100.0,100.0,100.0,,,,,,,France
0,1990,2053170.0,100.0,,100.0,100.0,8.66657670426795,369241.0,11.528646848879399,4.1754621858343395,3202813.0,49172281.02234,USA
1,1991,2219454.0,100.0,,100.0,100.0,8.74349537733587,350142.0,10.7574142290523,4.50791959377071,3254890.0,49234551.633684,USA
2,1992,2357618.0,100.0,,100.0,100.0,8.61274699225872,324316.0,9.916110116899151,4.76308310810846,3270597.0,49497729.653016,USA
3,1993,2159242.0,100.0,,100.0,100.0,8.52935320875437,355578.0,10.484325612114901,4.28152840674077,3391520.0,50431570.104744,USA
4,1994,2102316.0,100.0,,100.0,100.0,8.35152168582419,336458.0,9.747235524345061,4.08864139839829,3451830.0,51418449.19008,USA
5,1995,2447809.0,100.0,,100.0,100.0,8.2341349169744,384343.0,10.801084989942,4.726554335192059,3558374.0,51788445.163416,USA
6,1996,2539409.0,100.0,,100.0,100.0,8.109277706256469,422867.0,11.581450048257501,4.76393045060593,3651244.0,53304913.376244,USA
7,1997,2432528.0,100.0,,100.0,100.0,7.8391338634672305,403130.0,10.977828125765901,4.514260298827151,3672220.0,53885417.299308,USA
